Dataset,QuickSort,HeapSort,MergeSort,NumPy sort, C++ sort
float_1,1168.8823999720626,2619.1219999454916,1258.4690999938175,48.15659997984767,6.6890
float_2,1177.876900008414,2560.282799997367,1302.950699988287,41.2347000092268,4.6823
float_3,1604.9562999978662,3882.80299998587,2395.6846999935806,43.106500001158565,62.6232
float_4,1674.5265999925323,3936.7564999847673,2295.4219999955967,42.31039999285713,59.749
float_5,1536.770999955479,3884.588500019163,2297.0766999642365,41.15479998290539,62.8299
int_1,1247.6839000009932,2716.054200020153,1264.7916999994777,28.591000009328127,5.8308
int_2,1231.833000027109,2597.7240999927744,1289.0512000303715,23.026800015941262,4.5842
int_3,1618.3313999790698,3975.54209997179,2324.729699990712,27.437399956397712,41.3218
int_4,1827.970499987714,4014.5822999766096,2362.096400000155,24.231499992311,41.3448
int_5,1805.3501999820583,4049.1208999883384,2304.5176999876276,25.021000008564442,42.4897
